Data,Nr Frota,Placa,Tipo,Lançamento,Nr. Ordem,Nr.,Lcto,Exerc. Empenho,,Produto,Nr Litros,Valor,Numero,Tipo,Serie,Valor,Exerc.,EQAL,Exerc.,Liquidação
02/01/2019; 79417; AJM-9211; Abast; 78272; 7117;  ; 2018; 586; GASOLINA; 23,200; 99,53; 5207; Nota Fiscal Eletrônica 1; 97,90; 2019; 1; 2019; 37|
02/01/2019; 79464; BCD-6525; Abast; 78273; 7118;  ; 2018; 833; ÁLCOOL COMBUSTÍVEL (ETANOL); 41,441; 115,62; 16662; Nota Fiscal Eletrônica 1; 112,72; 2019; 4; 2019; 30|
02/01/2019; 79466; BCD-6527; Abast; 78274; 7119;  ; 2018; 833; ÁLCOOL COMBUSTÍVEL (ETANOL); 46,090; 128,59; 16662; Nota Fiscal Eletrônica 1; 125,36; 2019; 4; 2019; 30|
02/01/2019; 79432; ARV-7425; Abast; 78270; 7121;  ; 2018; 835; ÁLCOOL COMBUSTÍVEL (ETANOL); 45,168; 126,02; 16661; Nota Fiscal Eletrônica 1; 122,86; 2019; 8; 2019; 29|
02/01/2019; 79473; AJU-6529; Abast; 78276; 7120;  ; 2018; 773; ÓLEO DIESEL S-10; 104,080; 363,24; 5211; Nota Fiscal Eletrônica 1; 352,83; 2019; 11; 2019; 39|
02/01/2019; 79444; ATL-9834; Abast; 78271; 7122;  ; 2018; 835; ÁLCOOL COMBUSTÍVEL (ETANOL); 47,560; 132,69; 16661; Nota Fiscal Eletrônica 1; 129,36; 2019; 8; 2019; 29|
02/01/2019; 79468; BCD-6529; Abast; 78275; 7123;  ; 2018; 833; ÁLCOOL COMBUSTÍVEL (ETANOL); 48,980; 136,65; 16662; Nota Fiscal Eletrônica 1; 133,23; 2019; 4; 2019; 30|
02/01/2019; 79457; BCC-4713; Abast; 78277; 7124;  ; 2018; 835; ÁLCOOL COMBUSTÍVEL (ETANOL); 50,179; 140,00; 16661; Nota Fiscal Eletrônica 1; 136,49; 2019; 8; 2019; 29|
02/01/2019; 79462; BCD-6523; Abast; 78279; 7125;  ; 2018; 833; ÁLCOOL COMBUSTÍVEL (ETANOL); 40,720; 113,61; 16662; Nota Fiscal Eletrônica 1; 110,76; 2019; 4; 2019; 30|
02/01/2019; 79505; AHR-3194; Abast; 78278; 7126;  ; 2018; 830; GASOLINA; 19,720; 84,60; 5206; Nota Fiscal Eletrônica 1; 83,22; 2019; 14; 2019; 38|
03/01/2019; 87009; EQU-8709; Consum;  298;     ; 0; 2018; 586; GASOLINA; 16,921; 72,59; 5207; Nota Fiscal Eletrônica 1; 71,41; 2019; 2; 2019; 37|
03/01/2019; 79450; BAB-6291; Abast; 78280; 7127;  ; 2018; 829; ÓLEO DIESEL S-10; 32,610; 113,81; 5208; Nota Fiscal Eletrônica 1; 110,55; 2019; 16; 2019; 40|
03/01/2019; 79802; AJJ-0139; Abast; 78281; 7129;  ; 2018; 832; GASOLINA; 40,091; 171,99; 5209; Nota Fiscal Eletrônica 1; 169,18; 2019; 18; 2019; 36|
03/01/2019; 77199; AQV-4640; Abast; 78284; 7130;  ; 2018; 835; ÁLCOOL COMBUSTÍVEL (ETANOL); 42,290; 117,99; 16661; Nota Fiscal Eletrônica 1; 115,03; 2019; 9; 2019; 29|
03/01/2019; 77114; AAW-6742; Abast; 78286; 7131;  ; 2018; 832; GASOLINA; 32,699; 140,28; 5209; Nota Fiscal Eletrônica 1; 137,99; 2019; 18; 2019; 36|
03/01/2019; 78012; AKF-2842; Abast; 78283; 7133;  ; 2018; 773; ÓLEO DIESEL S-10; 95,149; 332,07; 5211; Nota Fiscal Eletrônica 1; 322,56; 2019; 12; 2019; 39|
03/01/2019; 79413; AHQ-1425; Abast; 78288; 7134;  ; 2018; 832; GASOLINA; 40,970; 175,76; 5209; Nota Fiscal Eletrônica 1; 172,89; 2019; 18; 2019; 36|
